TYPE-COLLATERAL,COLLATERAL,PARTY,DOC-ID,DRDATE,PROCESSING-DATE,CORR-DATE,CORR-ID,SERIAL-ID,DOC-TYPE,
2,RRDEU BR700-710C4-11 15191           ,                                                  ,ARE016933003,20250605,20250605,        , ,15191                         ,S/A,
2,RRDEU BR700-710C4-11 15191           ,                                                  ,ARE016933003,20250605,20250605,        , ,15191                         ,S/A,
2,RRDEU BR700-710C4-11 15258           ,                                                  ,ARE016961840,20250616,20250616,        , ,15258                         ,S/A,
2,RRDEU BR700-710C4-11 15258           ,                                                  ,ARE016961831,20250616,20250616,        , ,15258                         ,DIS,
2,RRDEU BR700-710C4-11 15258           ,                                                  ,ARE016961840,20250616,20250616,        , ,15258                         ,S/A,
2,RRDEU BR700-710C4-11 15259           ,                                                  ,ARE016961840,20250616,20250616,        , ,15259                         ,S/A,
2,RRDEU BR700-710C4-11 15259           ,                                                  ,ARE016961831,20250616,20250616,        , ,15259                         ,DIS,
2,RRDEU BR700-710C4-11 15259           ,                                                  ,ARE016961840,20250616,20250616,        , ,15259                         ,S/A,
2,RRDEU BR700-710C4-11 15545           ,                                                  ,            ,20250613,20250616,        , ,15545                         ,S/A,
2,RRDEU BR700-710C4-11 15545           ,                                                  ,            ,20250613,20250616,        , ,15545                         ,S/A,
2,RRDEU BR700-710C4-11 15546           ,                                                  ,            ,20250613,20250616,        , ,15546                         ,S/A,
2,RRDEU BR700-710C4-11 15546           ,                                                  ,            ,20250613,20250616,        , ,15546                         ,S/A,
2,RRDEU BR700-725A1-12 25658           ,                                                  ,ARE016933935,20250605,20250605,        , ,25658                         ,S/A,
2,RRDEU BR700-725A1-12 25658           ,                                                  ,ARE016933939,20250605,20250605,        , ,25658                         ,S/A,
2,RRDEU BR700-725A1-12 25658           ,                                                  ,ARE016933939,20250605,20250605,        , ,25658                         ,S/A,
2,RRDEU BR700-725A1-12 25658           ,                                                  ,ARE016933937,20250605,20250605,        , ,25658                         ,S/A,
2,RRDEU BR700-725A1-12 25658           ,                                                  ,ARE016933935,20250605,20250605,        , ,25658                         ,S/A,
2,RRDEU BR700-725A1-12 25658           ,                                                  ,ARE016933935,20250605,20250605,        , ,25658                         ,S/A,
2,RRDEU BR700-725A1-12 25658           ,                                                  ,ARE016933937,20250605,20250605,        , ,25658                         ,S/A,
2,RRDEU BR700-725A1-12 25658           ,                                                  ,ARE016933927,20250605,20250605,20250606,C,25658                         ,REL,
2,RRDEU BR700-725A1-12 25658           ,                                                  ,ARE016933935,20250605,20250605,        , ,25658                         ,S/A,
2,RRDEU BR700-725A1-12 25659           ,                                                  ,ARE016933935,20250605,20250605,        , ,25659                         ,S/A,
2,RRDEU BR700-725A1-12 25659           ,                                                  ,ARE016933939,20250605,20250605,        , ,25659                         ,S/A,
